City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yumen,CN,2019-11-06 18:33:06,40.29,97.04,41.18,45,36,17.36
1,Ribeira Grande,PT,2019-11-06 18:33:06,38.52,-28.7,64.4,68,75,8.05
2,Punta Arenas,CL,2019-11-06 18:33:07,-53.16,-70.91,44.6,75,20,28.86
3,Isangel,VU,2019-11-06 18:33:07,-19.55,169.27,73.4,94,75,1.36
4,Georgetown,GY,2019-11-06 18:33:07,6.8,-58.16,93.2,70,75,11.41
5,Hermanus,ZA,2019-11-06 18:33:08,-34.42,19.24,61.0,74,23,18.01
6,Albany,US,2019-11-06 18:29:21,42.65,-73.75,50.0,34,20,10.29
7,Mataura,NZ,2019-11-06 18:33:08,-46.19,168.86,51.01,92,100,1.23
8,Hirara,JP,2019-11-06 18:33:08,24.8,125.28,75.83,76,12,13.69
9,Kaifeng,CN,2019-11-06 18:33:08,34.8,114.35,50.0,100,100,2.24
10,Saint-Pierre,FR,2019-11-06 18:33:09,48.95,4.24,48.99,100,75,8.05
11,Khatanga,RU,2019-11-06 18:33:09,71.98,102.47,-6.81,81,0,10.45
12,Hobart,AU,2019-11-06 18:33:09,-42.88,147.33,44.6,70,75,16.11
13,Ballina,IE,2019-11-06 18:33:09,54.11,-9.15,46.0,100,75,4.7
14,Bonthe,SL,2019-11-06 18:33:09,7.53,-12.5,82.6,73,88,5.32
15,Fairbanks,US,2019-11-06 18:29:28,64.84,-147.72,24.01,100,90,1.88
16,Terrace,CA,2019-11-06 18:28:28,54.52,-128.61,41.0,65,90,20.8
17,Kapaa,US,2019-11-06 18:33:09,22.08,-159.32,75.2,88,40,8.05
18,Hervey Bay,AU,2019-11-06 18:33:10,-25.3,152.85,64.0,82,1,5.82
19,Kodiak,US,2019-11-06 18:33:10,39.95,-94.76,63.0,55,1,8.05
20,Souillac,FR,2019-11-06 18:33:10,45.6,-0.6,53.6,87,90,6.93
21,Dikson,RU,2019-11-06 18:33:10,73.51,80.55,-9.41,89,0,12.08
22,Victoria,BN,2019-11-06 18:33:10,5.28,115.24,78.8,88,75,1.12
23,Ushuaia,AR,2019-11-06 18:32:45,-54.81,-68.31,37.4,100,75,19.46
24,Oktyabrskiy,RU,2019-11-06 18:33:11,55.61,37.97,50.0,93,90,4.47
25,Namatanai,PG,2019-11-06 18:33:11,-3.66,152.44,82.17,79,100,13.67
26,Kalabo,ZM,2019-11-06 18:33:11,-15.0,22.67,73.53,65,58,5.57
27,East London,ZA,2019-11-06 18:33:11,-33.02,27.91,66.2,82,20,13.87
28,Cape Town,ZA,2019-11-06 18:30:18,-33.93,18.42,63.0,72,40,10.29
29,Bluff,AU,2019-11-06 18:33:11,-23.58,149.07,61.59,83,47,4.03
30,Thompson,CA,2019-11-06 18:30:08,55.74,-97.86,6.8,77,90,10.29
31,Vardo,US,2019-11-06 18:33:12,39.62,-77.74,57.99,34,1,3.36
32,Yulara,AU,2019-11-06 18:33:12,-25.24,130.99,64.4,22,0,5.82
33,Berlevag,NO,2019-11-06 18:33:12,70.86,29.09,24.8,92,75,3.36
34,Khani,GE,2019-11-06 18:33:12,41.96,42.96,51.8,81,0,3.36
35,Mount Isa,AU,2019-11-06 18:33:12,-20.73,139.49,68.0,11,64,2.24
36,Busselton,AU,2019-11-06 18:33:12,-33.64,115.35,55.0,60,90,11.14
37,Bredasdorp,ZA,2019-11-06 18:33:12,-34.53,20.04,61.0,67,58,26.4
38,Pisco,PE,2019-11-06 18:33:12,-13.71,-76.2,71.6,30,0,9.17
39,Camocim,BR,2019-11-06 18:33:13,-2.9,-40.84,95.74,36,0,12.75
40,Jamestown,AU,2019-11-06 18:33:13,-33.21,138.6,48.88,78,60,16.15
41,Barrow,AR,2019-11-06 18:33:13,-38.31,-60.23,85.19,27,0,17.36
42,Mar Del Plata,AR,2019-11-06 18:33:13,-46.43,-67.52,63.9,16,100,36.04
43,Bethel,US,2019-11-06 18:33:13,60.79,-161.76,33.8,86,90,12.75
44,Adre,TD,2019-11-06 18:33:13,13.47,22.2,75.45,24,0,1.5
45,Hamilton,CA,2019-11-06 18:33:13,43.26,-79.87,44.01,51,75,16.11
46,Nha Trang,VN,2019-11-06 18:33:13,12.24,109.19,77.0,88,20,2.24
47,Rikitea,PF,2019-11-06 18:33:14,-23.12,-134.97,75.38,85,27,2.15
48,Sibolga,ID,2019-11-06 18:33:14,1.74,98.78,69.37,86,46,2.48
49,Sisimiut,GL,2019-11-06 18:33:14,66.94,-53.67,22.28,83,92,7.94
50,Salavat,RU,2019-11-06 18:33:14,53.36,55.92,32.88,67,87,16.26
51,Sao Filipe,CV,2019-11-06 18:33:14,14.9,-24.5,77.13,75,60,21.72
52,Tazovskiy,RU,2019-11-06 18:33:14,67.47,78.7,3.99,95,83,5.73
53,Avarua,CK,2019-11-06 18:33:15,-21.21,-159.78,75.2,83,33,3.36
54,Deputatskiy,RU,2019-11-06 18:33:15,69.3,139.9,-3.34,96,96,3.11
55,Portland,US,2019-11-06 18:33:15,43.66,-70.25,51.01,31,20,17.22
56,Pimentel,BR,2019-11-06 18:33:15,-3.7,-45.5,93.38,44,51,5.3
57,Myitkyina,MM,2019-11-06 18:32:03,25.38,97.4,65.61,87,0,2.53
58,Hansi,IN,2019-11-06 18:33:15,29.11,75.96,76.35,28,33,5.61
59,Flinders,AU,2019-11-06 18:33:16,-34.58,150.85,72.0,53,90,24.16
60,Hilo,US,2019-11-06 18:32:04,19.71,-155.08,80.01,57,1,4.7
61,Airai,TL,2019-11-06 18:33:16,-8.93,125.41,66.49,73,34,4.03
62,Bocas Del Toro,PA,2019-11-06 18:33:16,9.33,-82.25,71.01,69,100,5.99
63,Luanda,AO,2019-11-06 18:33:16,-8.83,13.24,78.8,83,20,10.29
64,Saint-Philippe,CA,2019-11-06 18:33:17,45.36,-73.48,42.8,35,20,21.92
65,Dakar,SN,2019-11-06 18:29:03,14.69,-17.45,82.4,74,34,16.11
66,Half Moon Bay,US,2019-11-06 18:33:17,37.46,-122.43,64.99,93,90,6.93
67,Churapcha,RU,2019-11-06 18:33:17,62.0,132.43,-11.46,96,100,7.16
68,Qinhuangdao,CN,2019-11-06 18:33:17,39.94,119.59,39.06,35,9,10.76
69,Hasaki,JP,2019-11-06 18:33:17,35.73,140.83,50.0,93,40,1.12
70,Upernavik,GL,2019-11-06 18:33:17,72.79,-56.15,21.83,95,100,5.68
71,Smithers,CA,2019-11-06 18:33:18,54.78,-127.17,32.0,86,90,11.41
72,San Quintin,PH,2019-11-06 18:33:18,17.54,120.52,72.99,98,100,4.05
73,Mahebourg,MU,2019-11-06 18:33:18,-20.41,57.7,75.2,88,40,6.93
74,Poum,MK,2019-11-06 18:33:18,41.28,20.71,62.6,67,75,41.38
75,Vaini,IN,2019-11-06 18:33:18,15.34,74.49,68.5,97,100,2.46
76,Abalak,NE,2019-11-06 18:33:18,15.46,6.28,90.73,11,6,6.58
77,Castro,CL,2019-11-06 18:33:19,-42.48,-73.76,53.6,99,90,6.93
78,Klaksvik,FO,2019-11-06 18:33:19,62.23,-6.59,33.8,86,55,5.82
79,Chuy,UY,2019-11-06 18:33:19,-33.69,-53.46,70.2,51,0,5.59
80,Leshukonskoye,RU,2019-11-06 18:33:19,64.9,45.76,18.57,97,81,2.95
81,Muros,ES,2019-11-06 18:33:19,42.77,-9.06,60.01,100,75,5.82
82,Saldanha,PT,2019-11-06 18:33:19,41.42,-6.55,48.69,86,91,7.54
83,Rio Grande,BR,2019-11-06 18:33:19,-32.03,-52.1,75.2,44,0,12.75
84,Akureyri,IS,2019-11-06 18:33:20,65.68,-18.09,26.6,86,75,6.93
