City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mmabatho,ZA,2019-11-06 05:14:01,-25.85,25.61,73.4,40,58,16.11
1,Jamestown,AU,2019-11-06 05:14:01,-33.21,138.6,72.39,23,0,22.39
2,Lebu,ET,2019-11-06 05:14:01,8.96,38.73,59.29,65,31,3.06
3,Camargo,MX,2019-11-06 05:14:01,27.69,-105.17,69.21,55,100,5.3
4,Klenovyy,UA,2019-11-06 05:14:01,48.12,39.46,52.25,94,86,11.56
5,Richards Bay,ZA,2019-11-06 05:14:02,-28.77,32.06,74.26,79,100,16.44
6,Kapaa,US,2019-11-06 05:14:02,22.08,-159.32,78.8,88,40,5.82
7,Qaanaaq,GL,2019-11-06 05:14:02,77.48,-69.36,3.29,59,0,10.0
8,San Jose,HN,2019-11-06 05:14:02,14.25,-87.96,61.92,93,0,7.25
9,Bluff,AU,2019-11-06 05:14:02,-23.58,149.07,86.27,12,57,2.86
10,Mount Gambier,AU,2019-11-06 05:09:17,-37.83,140.78,53.6,93,90,21.92
11,Yellowknife,CA,2019-11-06 05:14:03,62.45,-114.38,12.2,78,90,3.36
12,Port Alfred,ZA,2019-11-06 05:14:03,-33.59,26.89,69.01,78,28,4.0
13,Lovozero,RU,2019-11-06 05:14:03,68.01,35.02,17.17,94,93,6.46
14,Lukulu,ZM,2019-11-06 05:14:04,-14.38,23.24,74.35,66,63,3.6
15,Barrow,AR,2019-11-06 05:14:04,-38.31,-60.23,52.57,35,0,10.67
16,Rikitea,PF,2019-11-06 05:14:04,-23.12,-134.97,76.55,82,50,4.45
17,Hermanus,ZA,2019-11-06 05:14:05,-34.42,19.24,66.0,68,65,11.01
18,Dikson,RU,2019-11-06 05:14:05,73.51,80.55,-2.78,84,97,11.01
19,Karratha,AU,2019-11-06 05:14:05,-20.74,116.85,79.59,65,0,14.14
20,Amapa,HN,2019-11-06 05:14:05,15.09,-87.97,73.4,100,40,2.24
21,Olavarria,AR,2019-11-06 05:14:06,-36.89,-60.32,50.92,40,0,6.4
22,Jinxi,CN,2019-11-06 05:14:06,27.92,116.75,71.35,43,47,5.82
23,Ushuaia,AR,2019-11-06 05:14:06,-54.81,-68.31,35.6,80,90,2.8
24,Adrar,DZ,2019-11-06 05:14:06,27.87,-0.29,64.4,36,2,8.05
25,Amecameca,MX,2019-11-06 05:14:06,19.13,-98.77,59.0,67,75,10.29
26,Ukiah,US,2019-11-06 05:14:07,39.15,-123.21,59.0,55,62,2.15
27,Bredasdorp,ZA,2019-11-06 05:14:07,-34.53,20.04,66.0,77,94,1.12
28,Port Hardy,CA,2019-11-06 05:14:07,50.7,-127.42,44.6,100,90,2.24
29,Hamilton,CA,2019-11-06 05:14:07,43.26,-79.87,39.99,69,20,11.41
30,Sechura,PE,2019-11-06 05:14:07,-5.56,-80.82,63.1,90,69,9.31
31,Nikolskoye,RU,2019-11-06 05:14:08,59.7,30.79,33.8,59,100,13.42
32,Busselton,AU,2019-11-06 05:14:08,-33.64,115.35,75.0,31,4,12.62
33,Mahina,ML,2019-11-06 05:14:08,13.76,-10.85,79.32,24,22,2.64
34,Punta Arenas,CL,2019-11-06 05:14:08,-53.16,-70.91,37.4,86,90,21.92
35,Wasilla,US,2019-11-06 05:14:09,61.58,-149.44,35.01,68,90,4.7
36,Nome,US,2019-11-06 05:14:09,30.04,-94.42,66.0,88,1,3.36
37,Namie,JP,2019-11-06 05:14:09,37.52,140.86,66.2,66,75,14.99
38,Duluth,US,2019-11-06 05:14:09,46.77,-92.13,23.0,57,90,5.82
39,Morgan City,US,2019-11-06 05:14:09,29.7,-91.21,64.0,100,1,6.49
40,Sur,OM,2019-11-06 05:14:10,22.57,59.53,84.38,50,0,12.48
41,Nelson Bay,AU,2019-11-06 05:14:10,-32.72,152.14,84.99,13,0,17.22
42,Gornozavodsk,RU,2019-11-06 05:14:10,58.37,58.33,37.13,96,100,17.49
43,Mahebourg,MU,2019-11-06 05:14:10,-20.41,57.7,81.0,74,75,6.93
44,Dingle,PH,2019-11-06 05:14:11,11.0,122.67,83.46,77,61,14.0
45,Nanortalik,GL,2019-11-06 05:14:12,60.14,-45.24,35.06,85,27,23.62
46,Saint George,GR,2019-11-06 05:14:12,39.45,22.34,51.8,100,75,2.04
47,Brumadinho,BR,2019-11-06 05:10:52,-20.14,-44.2,73.4,78,83,2.3
48,Nemuro,JP,2019-11-06 05:14:12,43.32,145.57,48.2,39,40,12.75
49,New Norfolk,AU,2019-11-06 05:14:13,-42.78,147.06,64.4,20,93,24.16
50,Ossora,RU,2019-11-06 05:14:13,59.24,163.07,39.83,92,100,24.81
51,Butterworth,MY,2019-11-06 05:14:13,5.4,100.37,89.6,66,75,6.93
52,Matara,BI,2019-11-06 05:14:14,-3.48,29.48,65.08,77,100,6.08
53,Dombarovskiy,RU,2019-11-06 05:14:14,50.76,59.54,35.78,32,81,13.82
54,Sanchazi,CN,2019-11-06 05:14:14,30.43,103.62,70.0,67,40,2.24
55,Simga,IN,2019-11-06 05:14:14,21.63,81.7,80.6,65,0,5.82
56,Kenai,US,2019-11-06 05:11:19,60.55,-151.26,37.99,93,75,5.82
57,Haapiti,PF,2019-11-06 05:14:15,-17.57,-149.87,82.4,74,20,4.7
58,Hilo,US,2019-11-06 05:14:15,19.71,-155.08,78.8,78,1,3.36
59,Kahului,US,2019-11-06 05:14:15,20.89,-156.47,82.4,74,40,8.05
60,Provideniya,RU,2019-11-06 05:14:15,64.42,-173.23,24.8,73,1,8.95
61,Kot Radha Kishan,PK,2019-11-06 05:14:16,31.17,74.1,69.8,64,20,12.75
62,Comodoro Rivadavia,AR,2019-11-06 05:14:16,-45.87,-67.48,59.0,33,93,29.97
63,Mataura,NZ,2019-11-06 05:14:16,-46.19,168.86,60.01,71,61,10.0
64,Avarua,CK,2019-11-06 05:14:16,-21.21,-159.78,71.6,88,100,6.93
65,Condega,NI,2019-11-06 05:14:16,13.36,-86.4,63.93,98,0,4.0
66,Buraydah,SA,2019-11-06 05:14:17,26.33,43.97,68.0,56,3,6.93
67,Tiksi,RU,2019-11-06 05:14:17,71.64,128.87,-10.9,96,77,2.39
68,Souillac,FR,2019-11-06 05:14:17,45.6,-0.6,50.0,93,19,3.36
69,Sao Joao Da Barra,BR,2019-11-06 05:14:17,-21.64,-41.05,76.66,86,84,21.68
70,Kavieng,PG,2019-11-06 05:14:18,-2.57,150.8,79.34,87,100,28.25
71,Torbay,CA,2019-11-06 05:14:18,47.66,-52.73,39.99,79,75,6.93
72,Diban,SY,2019-11-06 05:14:18,35.02,40.51,69.91,38,0,3.2
73,Vaini,IN,2019-11-06 05:14:18,15.34,74.49,80.6,69,20,3.71
74,Padang,ID,2019-11-06 05:14:19,-0.92,100.36,81.55,62,84,5.03
75,Longyearbyen,NO,2019-11-06 05:14:19,78.22,15.63,8.6,71,75,1.12
76,Cape Town,ZA,2019-11-06 05:12:02,-33.93,18.42,61.0,87,75,14.99
77,Cockburn Town,TC,2019-11-06 05:14:20,21.46,-71.14,82.42,77,5,17.85
78,Albany,US,2019-11-06 05:14:20,42.65,-73.75,42.01,69,1,4.7
79,Muroto,JP,2019-11-06 05:14:20,33.37,134.14,69.8,26,20,8.05
80,Rajapur,BD,2019-11-06 05:14:20,22.57,90.14,85.6,50,100,8.16
81,Hobart,AU,2019-11-06 05:09:54,-42.88,147.33,64.4,20,78,24.16
82,Faya,SA,2019-11-06 05:14:21,18.39,42.45,62.6,25,27,12.57
83,Port Macquarie,AU,2019-11-06 05:14:21,-31.43,152.91,78.01,43,0,16.11
84,Oskarshamn,SE,2019-11-06 05:14:21,57.26,16.44,37.0,75,90,11.41
85,Wagar,US,2019-11-06 05:14:21,31.44,-87.99,55.99,89,0,5.55
86,Sitka,US,2019-11-06 05:14:22,37.17,-99.65,41.0,73,0,3.0
87,Portland,US,2019-11-06 05:09:24,43.66,-70.25,51.01,70,1,3.36
88,Moose Factory,CA,2019-11-06 05:14:22,51.26,-80.61,15.8,72,90,10.29
89,Severodvinsk,RU,2019-11-06 05:14:22,64.56,39.82,15.8,92,90,1.41
90,Muskego,US,2019-11-06 05:09:37,42.91,-88.14,32.0,58,40,5.23
91,Puerto Ayora,EC,2019-11-06 05:14:23,-0.74,-90.35,69.01,92,8,5.99
92,Abeche,TD,2019-11-06 05:14:23,13.83,20.83,76.51,18,4,18.41
93,Grand Gaube,MU,2019-11-06 05:14:24,-20.01,57.66,81.0,74,75,6.93
94,Talcahuano,CL,2019-11-06 05:14:24,-36.72,-73.12,51.8,81,0,12.75
95,Huarmey,PE,2019-11-06 05:14:24,-10.07,-78.15,60.78,86,16,0.74
96,Bambous Virieux,MU,2019-11-06 05:14:25,-20.34,57.76,81.0,74,75,6.93
