City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Aklavik,CA,2019-11-08 19:12:13,68.22,-135.01,10.4,78,90,1.97,light snow,0.0,0.0
1,Mar Del Plata,AR,2019-11-08 19:12:13,-46.43,-67.52,53.2,43,0,16.51,clear sky,0.0,0.0
2,Punta Arenas,CL,2019-11-08 19:12:14,-53.16,-70.91,48.2,49,40,26.4,scattered clouds,0.0,0.0
3,Ahipara,NZ,2019-11-08 19:12:14,-35.17,173.16,64.99,100,49,13.31,scattered clouds,0.0,0.0
4,Mikkeli,FI,2019-11-08 19:12:14,61.69,27.27,28.4,100,90,5.82,light shower snow,0.0,0.0
5,Busselton,AU,2019-11-08 19:09:48,-33.64,115.35,63.0,39,0,16.64,clear sky,0.0,0.0
6,Agadez,NE,2019-11-08 19:12:14,16.97,7.99,86.0,20,0,9.17,clear sky,0.0,0.0
7,Yenagoa,NG,2019-11-08 19:10:47,4.92,6.26,78.98,89,87,4.18,moderate rain,3.19,0.0
8,Geraldton,CA,2019-11-08 19:11:05,49.72,-86.95,17.6,57,90,13.87,light snow,0.0,0.0
9,Teguldet,RU,2019-11-08 19:10:50,57.31,88.17,34.54,97,100,9.35,light snow,0.0,1.13
10,Samarai,PG,2019-11-08 19:10:09,-10.62,150.67,76.5,93,95,2.26,overcast clouds,0.0,0.0
11,Mataura,NZ,2019-11-08 19:09:45,-46.19,168.86,54.0,92,100,1.99,light rain,0.38,0.0
12,Waingapu,ID,2019-11-08 19:12:15,-9.65,120.26,82.02,78,0,12.17,light rain,0.38,0.0
13,Faanui,PF,2019-11-08 19:10:33,-16.48,-151.75,81.25,77,100,20.22,light rain,0.13,0.0
14,Cape Town,ZA,2019-11-08 19:07:03,-33.93,18.42,68.0,59,67,18.34,broken clouds,0.0,0.0
15,Hasaki,JP,2019-11-08 19:11:47,35.73,140.83,48.2,87,75,8.05,broken clouds,0.0,0.0
16,Yellowknife,CA,2019-11-08 19:06:48,62.45,-114.38,12.2,78,90,12.75,overcast clouds,0.0,0.0
17,Khatanga,RU,2019-11-08 19:10:22,71.98,102.47,-8.83,90,100,17.96,overcast clouds,0.0,0.0
18,Naze,NG,2019-11-08 19:10:34,5.43,7.07,80.6,88,75,5.73,thunderstorm,0.0,0.0
19,Rikitea,PF,2019-11-08 19:09:49,-23.12,-134.97,73.27,77,81,6.42,broken clouds,0.0,0.0
20,Iranshahr,IR,2019-11-08 19:12:17,27.21,60.69,64.4,10,0,9.17,clear sky,0.0,0.0
21,Thompson,CA,2019-11-08 19:09:47,55.74,-97.86,14.0,72,90,5.82,overcast clouds,0.0,0.0
22,Svetlogorsk,RU,2019-11-08 19:11:33,53.14,59.15,32.0,97,90,8.95,heavy shower snow,0.0,0.0
23,Morondava,MG,2019-11-08 19:12:17,-20.3,44.28,78.22,71,85,3.96,light rain,0.44,0.0
24,Opuwo,NA,2019-11-08 19:10:29,-18.06,13.84,80.98,32,100,4.9,overcast clouds,0.0,0.0
25,Pozo Colorado,PY,2019-11-08 19:12:17,-23.49,-58.8,95.25,40,100,1.63,overcast clouds,0.0,0.0
26,Souillac,FR,2019-11-08 19:10:12,45.6,-0.6,48.2,81,90,10.29,overcast clouds,0.0,0.0
27,Georgetown,GY,2019-11-08 19:08:28,6.8,-58.16,86.0,79,75,6.93,broken clouds,0.0,0.0
28,Salon-De-Provence,FR,2019-11-08 19:12:18,43.64,5.1,51.8,87,0,10.71,clear sky,0.0,0.0
29,East London,ZA,2019-11-08 19:10:25,-33.02,27.91,64.4,68,40,6.93,scattered clouds,0.0,0.0
30,Half Moon Bay,US,2019-11-08 19:12:18,37.46,-122.43,70.0,87,90,3.36,mist,0.0,0.0
31,Saint Anthony,US,2019-11-08 19:07:47,43.97,-111.68,51.8,20,1,3.36,clear sky,0.0,0.0
32,Pevek,RU,2019-11-08 19:11:25,69.7,170.27,14.92,63,0,10.4,clear sky,0.0,0.0
33,Telimele,GN,2019-11-08 19:12:19,10.9,-13.03,78.03,80,14,2.77,light rain,1.13,0.0
34,Mariveles,PH,2019-11-08 19:12:19,14.48,120.48,80.6,88,40,3.36,scattered clouds,0.0,0.0
35,Hobart,AU,2019-11-08 19:08:56,-42.88,147.33,42.8,70,40,14.99,scattered clouds,0.0,0.0
36,Port Pirie,AU,2019-11-08 19:12:21,-33.18,138.01,57.2,58,90,13.87,overcast clouds,0.0,0.0
37,Port Alfred,ZA,2019-11-08 19:08:30,-33.59,26.89,60.01,78,61,7.02,broken clouds,0.0,0.0
38,Yulara,AU,2019-11-08 19:10:00,-25.24,130.99,68.0,28,0,10.29,clear sky,0.0,0.0
39,Bethel,US,2019-11-08 19:10:03,60.79,-161.76,33.8,92,90,11.41,overcast clouds,0.0,0.0
40,Albany,US,2019-11-08 19:07:22,42.65,-73.75,34.0,43,40,18.34,shower rain,0.0,0.0
41,Kahului,US,2019-11-08 19:12:22,20.89,-156.47,77.0,83,20,4.32,few clouds,0.0,0.0
42,Hermanus,ZA,2019-11-08 19:08:23,-34.42,19.24,68.0,77,86,11.99,overcast clouds,0.0,0.0
43,Ous,RU,2019-11-08 19:12:23,60.91,61.52,10.87,93,10,2.26,clear sky,0.0,0.0
44,Aripuana,BR,2019-11-08 19:12:24,-9.17,-60.63,96.64,39,93,1.9,light rain,0.44,0.0
45,Saskylakh,RU,2019-11-08 19:12:25,71.97,114.09,-24.49,98,11,8.21,few clouds,0.0,0.0
