City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Yenagoa,NG,78.98,moderate rain,4.92,6.26,Amba Hotels Limited
11,Mataura,NZ,54.0,light rain,-46.19,168.86,Ellie's Villa
12,Waingapu,ID,82.02,light rain,-9.65,120.26,Pondok Wisata Elim
13,Faanui,PF,81.25,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Morondava,MG,78.22,light rain,-20.3,44.28,La Case Bambou
33,Telimele,GN,78.03,light rain,10.9,-13.03,
44,Aripuana,BR,96.64,light rain,-9.17,-60.63,
46,Kaitangata,NZ,57.0,light rain,-46.28,169.85,
73,Sorong,ID,72.55,light rain,-0.86,131.25,The Waigo Hotel
77,Kasongo-Lunda,CD,70.72,light rain,-6.48,16.82,
84,Carauari,BR,81.28,light rain,-4.88,-66.9,Pousada Lobo
85,Kaeo,NZ,64.99,light rain,-35.1,173.78,Bushido Lodge
86,Ghogha,IN,82.27,light rain,21.69,72.28,Digamber Jain Dharamshala
95,Richards Bay,ZA,71.04,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
150,Ponta Do Sol,BR,79.11,moderate rain,-20.63,-46.0,Hotel Escarpas do Lago
155,Matara,BI,60.48,light rain,-3.48,29.48,
157,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
178,Russkiy Kameshkir,RU,37.65,light rain,52.86,46.09,
179,Huautla,MX,68.43,light rain,21.03,-98.29,Hotel Huautla
185,San Quintin,PH,73.33,light rain,17.54,120.52,San Quintin River Resort
187,Bonavista,CA,46.99,light rain,48.65,-53.11,Abbott's Bed & Breakfast
225,Lakes Entrance,AU,44.01,light rain,-37.88,147.99,The Esplanade Resort & Spa
234,Namatanai,PG,83.26,light rain,-3.66,152.44,Namatanai Hotel
277,Klaksvik,FO,37.4,light rain,62.23,-6.59,Airbnb rooms
280,Kavieng,PG,83.34,moderate rain,-2.57,150.8,Nusa Island Retreat
312,Cravo Norte,CO,89.04,light rain,6.3,-70.2,Hotel El Puerto
315,Lorengau,PG,83.28,light rain,-2.02,147.27,Lorengau Harbourside Hotel
321,Te Anau,NZ,49.66,moderate rain,-45.41,167.72,Kingsgate Hotel Te Anau
353,Kudahuvadhoo,MV,82.35,light rain,2.67,72.89,Orange Inn Maldives
360,Ugoofaaru,MV,82.74,light rain,5.67,73.0,Ungoofaaru Inn
406,Guangyuan,CN,52.41,light rain,32.43,105.86,Guangyuan Poetry Hotel
426,Shimoda,JP,55.0,light rain,34.7,138.93,Shimoda Tokyu Hotel
428,Auckland,NZ,66.0,light rain,-36.85,174.77,Copthorne Hotel Auckland City
432,Port Blair,IN,81.99,light rain,11.67,92.75,Fortune Resort Bay Island
438,Lavumisa,ZA,66.2,light rain,-27.31,31.88,ROADSIDE B&B
451,Sulangan,PH,81.46,light rain,11.14,123.72,Maia's Beach Resort
460,Tuatapere,NZ,54.0,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
489,Manokwari,ID,74.1,light rain,-0.87,134.08,Swiss Belhotel Manokwari
504,Tabuk,PH,71.44,heavy intensity rain,17.41,121.44,Grand Zion Garden Resort Hotel
513,Mahibadhoo,MV,81.61,light rain,3.78,72.97,Omadhoo Inn
518,Ginir,ET,57.79,light rain,7.14,40.71,Sura Dare Village
521,Kasempa,ZM,70.12,light rain,-13.46,25.83,Miracle Guest House
527,Vung Tau,VN,77.63,light rain,10.35,107.08,Seaside Resort
537,Candido De Abreu,BR,79.36,moderate rain,-24.57,-51.33,Hotel Recanto
543,Blagoveshchenka,RU,41.13,light rain,52.83,79.87,"Gostinitsa ""Tsentral'naya"""
558,Namuac,PH,71.2,moderate rain,18.61,121.17,Mariner's Hub
